datetime,epoch,product,product_id,const,sales
2019-01-01 00:00:00,1546300800,D,3.296991919410696,5,-30.0
2019-01-01 00:05:00,1546301100,B,2.734104468620891,5,-29.840832069052322
2019-01-01 00:10:00,1546301400,A,3.2758695154366855,5,-29.681665399207844
2019-01-01 00:15:00,1546301700,A,3.2720700761805537,5,-29.522501251546043
2019-01-01 00:20:00,1546302000,B,1.2992729167313422,5,-29.36334088709891
2019-01-01 00:25:00,1546302300,B,3.1241262785277204,5,-29.20418556682729
2019-01-01 00:30:00,1546302600,D,2.532138722317474,5,-29.045036551597075
2019-01-01 00:35:00,1546302900,A,1.2519293360934505,5,-28.885895102155533
2019-01-01 00:40:00,1546303200,D,1.9192718515901763,5,-28.726762479107553
2019-01-01 00:45:00,1546303500,D,3.3690741881629105,5,-28.56763994289196
2019-01-01 00:50:00,1546303800,C,2.9039717101831397,5,-28.408528753757746
2019-01-01 00:55:00,1546304100,D,3.29888859006853,5,-28.249430171740425
2019-01-01 01:00:00,1546304400,B,3.833116537188704,5,-28.09034545663822
2019-01-01 01:05:00,1546304700,B,2.4427405011739802,5,-27.9312758679885
2019-01-01 01:10:00,1546305000,C,1.0427029738988227,5,-27.772222665043937
2019-01-01 01:15:00,1546305300,D,2.2381601637739013,5,-27.613187106748907
2019-01-01 01:20:00,1546305600,B,1.9134756925056262,5,-27.45417045171575
2019-01-01 01:25:00,1546305900,B,2.5966238391169645,5,-27.295173958201122
2019-01-01 01:30:00,1546306200,C,2.9684321060798036,5,-27.136198884082305
2019-01-01 01:35:00,1546306500,A,1.5401314108368094,5,-26.977246486833497
2019-01-01 01:40:00,1546306800,C,1.533585056637813,5,-26.818318023502247
2019-01-01 01:45:00,1546307100,D,3.57198005978485,5,-26.659414750685702
2019-01-01 01:50:00,1546307400,B,2.624529185207474,5,-26.500537924507025
2019-01-01 01:55:00,1546307700,B,3.9186840217874934,5,-26.341688800591726
2019-01-01 02:00:00,1546308000,D,3.725994441225666,5,-26.182868634044063
2019-01-01 02:05:00,1546308300,B,1.0317408126159986,5,-26.02407867942341
2019-01-01 02:10:00,1546308600,A,1.1212091125132302,5,-25.865320190720645
2019-01-01 02:15:00,1546308900,A,3.5802954404576552,5,-25.706594421334575
2019-01-01 02:20:00,1546309200,B,3.449855673072244,5,-25.547902624048326
2019-01-01 02:25:00,1546309500,A,3.446326581421233,5,-25.389246051005813
2019-01-01 02:30:00,1546309800,A,1.6474066920656802,5,-25.23062595368812
2019-01-01 02:35:00,1546310100,C,3.5583771885296924,5,-25.072043582890014
2019-01-01 02:40:00,1546310400,C,3.9216405584088423,5,-24.91350018869638
2019-01-01 02:45:00,1546310700,D,3.5421942750290367,5,-24.754997020458692
2019-01-01 02:50:00,1546311000,C,2.792179257607642,5,-24.596535326771527
2019-01-01 02:55:00,1546311300,C,2.127051260395324,5,-24.438116355449058
2019-01-01 03:00:00,1546311600,D,3.9607621250296994,5,-24.279741353501603
2019-01-01 03:05:00,1546311900,A,3.0247409064623128,5,-24.12141156711211
2019-01-01 03:10:00,1546312200,A,2.926560267633546,5,-23.963128241612782
2019-01-01 03:15:00,1546312500,C,3.822144498602492,5,-23.804892621461573
2019-01-01 03:20:00,1546312800,D,2.0787616194634713,5,-23.64670595021884
2019-01-01 03:25:00,1546313100,A,2.4543439239866354,5,-23.488569470523903
2019-01-01 03:30:00,1546313400,D,3.548193352425911,5,-23.330484424071678
2019-01-01 03:35:00,1546313700,B,1.8415792812158154,5,-23.172452051589328
2019-01-01 03:40:00,1546314000,A,2.781835769335458,5,-23.014473592812905
2019-01-01 03:45:00,1546314300,B,1.7237185283600545,5,-22.85655028646403
2019-01-01 03:50:00,1546314600,C,3.8321189525849846,5,-22.698683370226604
2019-01-01 03:55:00,1546314900,A,2.8527824115958134,5,-22.540874080723498
2019-01-01 04:00:00,1546315200,C,1.8099347372575472,5,-22.383123653493314
2019-01-01 04:05:00,1546315500,C,1.1214923146760367,5,-22.225433322967106
2019-01-01 04:10:00,1546315800,B,2.7617343521128985,5,-22.067804322445213
2019-01-01 04:15:00,1546316100,C,2.3752892923389837,5,-21.910237884074
2019-01-01 04:20:00,1546316400,C,1.1554635001916829,5,-21.75273523882272
2019-01-01 04:25:00,1546316700,B,1.9000077857254718,5,-21.59529761646032
2019-01-01 04:30:00,1546317000,B,3.491843757461262,5,-21.43792624553237
2019-01-01 04:35:00,1546317300,D,3.33872104282821,5,-21.28062235333786
2019-01-01 04:40:00,1546317600,C,1.6856059591556232,5,-21.123387165906202
2019-01-01 04:45:00,1546317900,B,3.6395708450110758,5,-20.966221907974116
2019-01-01 04:50:00,1546318200,C,2.5328832237522976,5,-20.809127802962607
2019-01-01 04:55:00,1546318500,C,3.872324891355214,5,-20.652106072953956
2019-01-01 05:00:00,1546318800,C,2.240712208293884,5,-20.49515793866872
